date,cases_unvac_rate_per100K,age_group
2021-11-20,12.93,18-39yrs
2021-11-20,11.99,40-59yrs
2021-11-20,30.25,60-79yrs
2021-11-20,0.00,80+
2021-11-20,11.59,ALL
2021-11-21,9.38,0-11yrs
2021-11-21,9.28,12-17yrs
2021-11-21,12.97,18-39yrs
2021-11-21,10.91,40-59yrs
2021-11-21,26.52,60-79yrs
2021-11-21,0.00,80+
2021-11-21,10.98,ALL
2021-11-22,6.92,0-11yrs
2021-11-22,8.63,12-17yrs
2021-11-22,9.85,18-39yrs
2021-11-22,10.92,40-59yrs
2021-11-22,24.68,60-79yrs
2021-11-22,0.00,80+
2021-11-22,8.85,ALL
2021-11-23,5.81,0-11yrs
2021-11-23,15.29,12-17yrs
2021-11-23,11.60,18-39yrs
2021-11-23,9.38,40-59yrs
2021-11-23,32.86,60-79yrs
2021-11-23,0.00,80+
2021-11-23,9.06,ALL
2021-11-24,8.60,0-11yrs
2021-11-24,10.68,12-17yrs
2021-11-24,8.77,18-39yrs
2021-11-24,10.53,40-59yrs
2021-11-24,15.08,60-79yrs
2021-11-24,0.00,80+
2021-11-24,9.23,ALL
2021-11-25,9.15,0-11yrs
2021-11-25,9.37,12-17yrs
2021-11-25,13.57,18-39yrs
2021-11-25,13.04,40-59yrs
2021-11-25,19.26,60-79yrs
2021-11-25,0.00,80+
2021-11-25,11.23,ALL
2021-11-26,12.67,0-11yrs
2021-11-26,24.83,12-17yrs
2021-11-26,14.35,18-39yrs
2021-11-26,16.91,40-59yrs
2021-11-26,31.71,60-79yrs
2021-11-26,24.60,80+
2021-11-26,14.76,ALL
2021-11-27,11.94,0-11yrs
2021-11-27,20.89,12-17yrs
2021-11-27,16.15,18-39yrs
2021-11-27,15.83,40-59yrs
2021-11-27,24.78,60-79yrs
2021-11-27,0.00,80+
2021-11-27,14.28,ALL
